rank,name,score,additional
45,4450,qwen3.5-35b-a3bAlibaba · Apache 2.0,"1248+16/-16 | 1,813 | $0.16 / $1.30 | 262.1K"
46,4450,gemini-3.1-flash-lite-previewGoogle · Proprietary,"1242+10/-10 | 4,579 | $0.25 / $1.50 | 1M"
47,4451,gpt-5.1-codex-miniOpenAI · Proprietary,"1238+17/-17 | 1,443 | $0.25 / $2 | 400K"
48,4451,qwen3.5-flashAlibaba · Proprietary,"1237+17/-17 | 1,562 | N/A | N/A"
49,4451,grok-4-1-fast-reasoningxAI · Proprietary,"1233+9/-9 | 6,916 | $0.20 / $0.50 | 2M"
50,4554,mistral-large-3Mistral · Apache 2.0,"1220+20/-20 | 1,031 | $0.50 / $1.50 | N/A"
51,4754,grok-4.1-thinkingxAI · Proprietary,"1206+20/-20 | 1,209 | $0.20 / $0.50 | N/A"
52,5054,gemini-2.5-proGoogle · Proprietary,"1202+13/-13 | 3,295 | $1.25 / $10 | 1M"
53,5054,devstral-2Mistral · Modified MIT,"1198+17/-17 | 1,579 | N/A | N/A"
54,5055,mercury-2Inception AI · Proprietary,"1183+21/-21 | 1,107 | $0.25 / $0.75 | 128K"
55,5456,grok-4-fast-reasoningxAI · Proprietary,1147+23/-23 | 933 | $0.20 / $0.50 | 2M
56,5556,grok-code-fast-1xAI · Proprietary,1138+22/-22 | 983 | $0.20 / $1.50 | 256K
57,5757,devstral-medium-2507Mistral · Proprietary,1090+23/-23 | 993 | $0.40 / $2 | 128K
